date,name,percentage
2014-07-01,SSE4.2,0.6898
2014-07-01,SSE4a,0.2221
2014-08-01,SSE2,0.9997
2014-08-01,SSE3,0.9983
2014-08-01,SSE4.1,0.7496
2014-08-01,SSE4.2,0.6948
2014-08-01,SSE4a,0.2229
2014-09-01,SSE2,0.9999
2014-09-01,SSE3,0.9988
2014-09-01,SSE4.1,0.7606
2014-09-01,SSE4.2,0.7079
2014-09-01,SSE4a,0.2238
2014-10-01,SSE2,0.9999
2014-10-01,SSE3,0.9987
2014-10-01,SSE4.1,0.7628
2014-10-01,SSE4.2,0.7108
2014-10-01,SSE4a,0.2226
2014-11-01,SSE2,0.9997
2014-11-01,SSE3,0.9987
2014-11-01,SSE4.1,0.7676
2014-11-01,SSE4.2,0.7174
2014-11-01,SSE4a,0.2244
2014-12-01,SSE2,0.9998
2014-12-01,SSE3,0.9988
2014-12-01,SSE4.1,0.7732
2014-12-01,SSE4.2,0.7241
2014-12-01,SSE4a,0.2255
2015-01-01,SSE2,0.9998
2015-01-01,SSE3,0.9989
2015-01-01,SSE4.1,0.7810
2015-01-01,SSE4.2,0.7336
2015-01-01,SSE4a,0.2266
2015-02-01,SSE2,1.0000
2015-02-01,SSE3,0.9991
2015-02-01,SSE4.1,0.7845
2015-02-01,SSE4.2,0.7389
2015-02-01,SSE4a,0.2273
2015-03-01,SSE2,1.0000
2015-03-01,SSE3,0.9991
2015-03-01,SSE4.1,0.7902
2015-03-01,SSE4.2,0.7457
2015-03-01,SSE4a,0.2274
2015-04-01,SSE2,1.0000
2015-04-01,SSE3,0.9992
2015-04-01,SSE4.1,0.7976
2015-04-01,SSE4.2,0.7543
2015-04-01,SSE4a,0.2231
2015-05-01,SSE2,0.9999
2015-05-01,SSE3,0.9991
2015-05-01,SSE4.1,0.7971
2015-05-01,SSE4.2,0.7544
2015-05-01,SSE4a,0.2287
2015-06-01,SSE2,0.9999
2015-06-01,SSE3,0.9991
2015-06-01,SSE4.1,0.8056
2015-06-01,SSE4.2,0.7632
2015-06-01,SSE4a,0.2237
2015-07-01,SSE2,0.9999
2015-07-01,SSE3,0.9992
2015-07-01,SSE4.1,0.8122
2015-07-01,SSE4.2,0.7717
2015-07-01,SSE4a,0.2224
2015-08-01,SSE2,0.9999
2015-08-01,SSE3,0.9992
2015-08-01,SSE4.1,0.8146
